segment_id,text,segment_type,metadata
53,"অপবেশ ব্যাপারটা বুঝতে পারছিলেন না। তিনি দাদার দিকে তাকিয়ে প্রশ্ন করলেন, কী হয়েছে?",dialogue,"Aparajito"
54,"গুপ্ত সামান্য ইতস্তত করে বললেন, একটি মেয়ে এখানে বেড়াতে এসে স্বামীর সঙ্গে ঝগড়া করে হোটেল থেকে বেরিয়ে গেছে, মান-অভিমানের ব্যাপার আর কী! তা তুমি এই সক্কালবেলায় খবরটা পেলে কী করে? অবিনাশ হাসল, সাংবাদিককে সোর্স জিজ্ঞাসা করবেন না স্যার।",dialogue,"Gupto"
55,"সাংবাদিক! যা না কাগজ তার আবার সাংবাদিক! তোমাকে তো পত্রিকা ডেলিভারিও দিতে হয়। গুপ্ত নাক টানলেন।",dialogue,"Gupto"
56,"স্যার! कागज তুলে কথা বলাটা ঠিক হচ্ছে না।",dialogue,"Abinash"
57,"অপরেশ তাড়াতাড়ি বলে উঠলেন, বেশ বেশ। শোনো হে অবিনাশ, আমার এখানে কোনও ডেডবডি আসেনি।",dialogue,"Aparajito"
58,"অবিনাশ ঘুরে দাঁড়াল, ব্যস। চুকে গেল ল্যাঠা। আপনার গাড়িটাকে দেখে সন্দেহ হয়েছিল তাই ঢুঁ মারলাম। অবিনাশ চলে যাচ্ছিল, গুপ্ত তাকে ডাকলেন, কোন দিকে যাবে?",dialogue,"Abinash"
59,"অবিনাশ হাসল, বাজারে!",dialogue,"Abinash"
60,"ওইখানে এক মিনিট দাঁড়াও। আমার গাড়িতে যেতে পারবে। কথাটা বলে গুপ্ত অপরেশকে চাপা গলায় বললেন, শোনো, সত্যি যদি কোনও ডেডবডি আসে তাহলে আমাকে না জানিয়ে কাউকে কিছু বলবে না। আর ওই ট্যুরিস্টদের যত তাড়াতাড়ি পারো হাসপাতাল থেকে ছেড়ে দাও।",dialogue,"Gupto"
61,"অপরেশ মাথা নাড়লেন, কিন্তু ওদের দুজনের যে বেশ কিছুদিন চিকিৎসা করা দরকার। ছেড়ে দেব কী করে?",dialogue,"Aparajito"
62,"গুপ্ত গম্ভীর গলায় বললেন, নিজের দেশে গিয়ে করাক। পৃথিবীতে তুমিই একমাত্র ডাক্তার নও।",dialogue,"Gupto"
63,"গুপ্ত অবিনাশকে নিয়ে গাড়িতে উঠে প্রশ্ন করলেন, রাগ করেছ?",dialogue,"Gupto"
64,"না, আমার এ সব কথা অভ্যাস হয়ে গেছে।",dialogue,"Abinash"
65,"তোমাদের কাগজ শুনছি খুব ভালো চলছে?",dialogue,"Gupto"
66,"চলছে। ট্যুরিস্টরা খুব নিচ্ছে। আশেপাশের শহরেও যাচ্ছে।",dialogue,"Abinash"
67,"ভালো, আমি চাই আমাদের এই শহর সব বিষয়ে স্বয়ং-নির্ভর হোক। কিন্তু সমাজপতি আমার কথা শুনছে না। আমি বলেছিলাম এই শহরের প্রশংসা করে কাগজে আরও বেশি লেখা হোক। তুমি ওকে বলো।",dialogue,"Gupto"
68,"বলব, কিন্তু এই তো গতকালই ডাক্তারের আর্টিকেল বের হল এই শহরের পরিবেশ নিয়ে। পড়েছেন? অবিনাশ বলল।",dialogue,"Abinash"
69,"গাড়ি চালাতে-চালাতে গুপ্ত জবাব দিলেন, পড়েছি। ও তো শুধু উপদেশ আর তথ্য। লোকে ইন্টারেস্ট পায় না। তুমি একটু জম্পেশ করে লেখো।",dialogue,"Gupto"
70,"ট্যুরিস্ট মেয়েদের ছবি-টবি ছাপাও। আর যত বেশি ট্যুরিস্ট আসবে তত তোমার কাগজ বিক্রি হবে। আর হ্যাঁ, ওই মেয়েটিকে খুঁজে না পাওয়া পর্যন্ত কোনও নিউজ তুমি লিখে বসো না যেন।",dialogue,"Gupto"
71,"বিকেলে অপরেশ একটু বেড়াতে বের হলেন। সারাদিন এই একটিবার হাঁটাহাঁটি হয়। খুব জরুরি প্রয়োজন না থাকলে এঁকে বিকেলের পর হাসপাতালে যেতে হয় না। অপারেশন কেস থাকলে রাত্রে একবার ঘুরে আসেন।",narration,"Aparajito's evening walk"
72,"সেজেগুজে বাইরের ঘরে আসতেই সুর্মা বলে উঠল, বাবা তুমি মাঙ্কি ক্যাপ পরোনি। ওটা না পরে কিন্তু বেরিও না।",dialogue,"Surma"
73,"অপরেশ একটু অসহায় ভঙ্গিতে তাকালেন। মাঙ্কি ক্যাপ তিনি একদম পছন্দ করেন না। কিন্তু মেয়েটা এমন গার্জেনগিরি করে! এই সময় কাজল ভেতর থেকে বেরিয়ে এলেন টুপিটা হাতে করে—নাও। অপরেশ বাধ্য হলেন। এখানে আসার পর তিনি কাজলকে অন্য রকম দেখছেন। এই সুন্দর কোয়ার্টার্স, ফুলের বাগান নিয়ে বেশ খুশিতে আছে ও। এত বছরের বিবাহিত জীবনে কাজলকে এত প্রাণবন্ত তিনি খুবই কম দেখেছেন।",narration,"Kajol gives him the cap"
74,"হঠাৎ সুর্মা বলে উঠল, জানো বাবা, আজ একটা ট্যুরিস্ট বউ এখানে হারিয়ে গেছে।",dialogue,"Surma"
75,"কাজলের মুখে বিস্ময় ফুটে উঠল, ও মা তুই জানলি কী করে?",dialogue,"Kajol"
76,"সুর্মা বলল, ভোরে যখন স্কুলে যাচ্ছিলাম তখন জেঠুর সঙ্গে দেখা হল। খুব ব্যস্ত হয়ে যাচ্ছিলেন। উনিই বললেন। জেঠু এই শহরটাকে যা ভালোবাসেন না, যেন নিজের শরীরের চেয়ে দামি।",dialogue,"Surma"
77,"কাজল বললেন, মেয়েটি কোথায় যাবে! এইটুকু তো শহর।",dialogue,"Kajol"
78,"সুর্মা বলল, খবরটা এখনও চাউর হয়নি। তা এবার কিন্তু খুব ট্যুরিস্ট আসছে এখানে। রাস্তায় পা দিলেই নতুন মুখ দেখতে পাচ্ছি।",dialogue,"Surma"
79,"অপরেশ একটু অন্যমনস্ক গলায় বললেন, এবার ট্যুরিস্টরা অসুখেও পড়ছে বেশ। সব পেটের গোলমাল। আজই বিকেলে দুজন নতুন পেশেন্ট হাসপাতালে ভরতি হয়েছে।",dialogue,"Aparajito"
80,"কাজল বললেন, ও মা, সে কী কথা! এখানে তো পেটের গোলমাল হয় না বলে শুনেছি। তোমার দাদা বলেন এখানকার জল নাকি অমৃত।",dialogue,"Kajol"
81,"অমৃত কি না জানি না তবে ফুটিয়ে নিচ্ছ তো?",dialogue,"Aparajito"
82,"খাবার জল রোজই ফোটানো হয়। তোমার বাপু একটু বেশি পিটপিটুনি স্বভাব। এত লোক জলের প্রশংসা করছে আর তুমি—। কাজল কথাটা শেষ করলেন না। ওঁর নজর তখন বাইরের গেটের দিকে। ঘরে দাঁড়িয়েই জানালা দিয়ে বাগান, গেল দেখা যায়। দরজায় তখন বেশ সুন্দর চেহারার এক যুবক এসে দাঁড়িয়েছে। বললেন, এসো বাবা, এসো।",narration,"Kajol scolds Aparajito; Subrata arrives"
83,"যুবক বলল, ভালো আছেন আপনারা?",dialogue,"Subrata"
84,"অপরেশ মাথা নাড়লেন, ভালো নেই। আজ বিকেলে আবার পেটের রুগির সংখ্যা বেড়েছে হাসপাতালে।",dialogue,"Aparajito"
85,"কাজল কপট গলায় ধমক দিলেন, আঃ, সব সময় হাসপাতাল আর হাসপাতাল। অন্য কোনও চিন্তা মাথায় আসে না, বসো, তুমি দাঁড়িয়ে রইলে কেন?",dialogue,"Kajol"
86,"যুবক সুর্মার দিকে তাকিয়ে هাসল। বোঝা যায় এদের দুজনের মধ্যে বেশ বোঝাপড়া হচ্ছে। যুবক বলল, আপনি বের হচ্ছেন মনে হচ্ছে?",narration,"Subrata looks at Surma"
87,"অপরেশ ঘড়ি দেখলেন—হ্যাঁ, বেশ দেরি হয়ে গেছে। যাই এক চক্কর ঘুরে আসি। তা, তোমার কাজকর্ম কেমন চলছে?",dialogue,"Aparajito"
88,"ভালো। আমরা নিচের দিকে জমিটা পেয়ে গেছি। টাউন কমিটি স্যাংশন করেছে। শিগগির কাজ শুরু করব। যুবক বলল।",dialogue,"Subrata"
89,"যুবকের নাম সুব্রত। পেশায় সে ইঞ্জিনিয়ার। কনকপুর ডেভেলপমেন্ট কর্পোরেশনের সে অধিকর্তা। এই অল্পবয়সে নিজের বিদ্যাবুদ্ধির জোরে এত ভালো চাকরি পেয়েছে। সুব্রতর বাবা এই শহরের প্রথম নাগরিকদের অন্যতম। মা-মরা এই ছেলেটি এতদিন হোস্টেলে-হোস্টেলে দিন কাটিয়ে আবার নিজের শহরে ফিরে এসেছে।",narration,"Backstory of Subrata"
90,"ওদের বাড়িতে রেখে অপরেশ বেরিয়ে এলেন। এখনও রোদ মরেনি। তবে যে- কোনও মুহূর্তে ছায়ারা ছড়িয়ে পড়বে। পশ্চিমের পাহাড়গুলো বেশ লালচে হয়ে পড়েছে। রাস্তায় ট্যুরিস্টদের বেশ ভিড়। চৌমাথায় কন্ডাকটেড ট্যুরের অফিসগুলোর সামনে মানুষের খুব আনাগোনা। কোনও ব্যক্তিগত উদ্যোগের ফাঁদে ট্যুরিস্টদের না ফেলে কনকপুর ডেভেলপমেন্ট নিজে থেকেই ট্যুরিস্টদের বিভিন্ন বিউটি স্পট ঘুরিয়ে দেখাচ্ছে। কে. ডি. সি. লেখা গাড়িগুলো সারাদিন ছোটাছুটি করছে চারধারে।",narration,"Aparajito continues his walk, description of town"
91,"অপরেশ ডেয়ারি ফার্ম ছাড়িয়ে আরও ওপরে উঠে আসতেই অবিনাশকে দেখতে পেলেন। গলায় ক্যামেরা ঝুলিয়ে ওপাশ থেকে নেমে আসছে। ওকে দেখে চিৎকার করল ডাক্তারবাবু, ও ডাক্তারবাবু!",narration,"Meets Abinash again"
92,"অপরেশ দাঁড়ালেন। অবিনাশ দৌড়ে কাছাকাছি হল— কোথায় যাচ্ছেন?",dialogue,"Abinash"
93,"বেড়াতে!",dialogue,"Aparajito"
94,"এখুনি তো সন্ধে হয়ে যাবে।",dialogue,"Abinash"
95,"তা তো যাবেই। মেয়েটির কোনও খোঁজ পেয়েছ?",dialogue,"Aparajito"
96,"না, স্রেফ হাওয়া হয়ে গেছে। কী করে স্যার কে জানে! তুমি এখানে কী করছ?",dialogue,"Abinash"
97,"অবিনাশ প্রশ্নটা শুনে হকচকিয়ে গেল। তারপর নার্ভাস-হাসি হাসল—এই একটু ছবি তুলছিলাম।",dialogue,"Abinash"
98,"এদিকে আবার কীসের ছবি?",dialogue,"Aparajito"
